timestamp_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_C,rpm
0,-0.17749,1.347778,-5.0,-1.53,8.08,39.31,39.29,3896.0
4,0.457153,-0.518799,1.208984,5.27,-14.48,-6.58,38.5,3896.0
8,0.586182,0.257446,0.835205,7.8,5.29,-4.04,38.5,3896.0
12,-0.212891,0.554199,0.952026,-6.98,12.76,7.37,38.5,3896.0
16,-0.019043,0.516724,0.81311,-3.44,13.44,2.13,38.5,3896.0
20,-0.555664,0.026855,1.263306,-12.22,2.58,11.51,38.5,3896.0
24,0.178345,-0.576782,1.292236,0.6,-16.5,-3.52,38.5,3896.0
28,0.621338,0.000488,0.884277,9.48,0.82,-7.37,38.5,3896.0
32,-0.008545,0.526856,0.818604,-2.83,13.52,2.39,38.5,3896.0
36,0.19104,0.47644,0.769775,1.13,12.43,1.14,38.5,3896.0
40,-0.456177,0.256714,1.154663,-11.75,7.18,13.56,38.5,3896.0
44,-0.140747,-0.527222,1.344971,-4.02,-14.45,-1.27,38.5,3896.0
48,0.663574,-0.229614,1.017944,8.55,-5.16,-9.56,38.5,3896.0
52,0.20459,0.473145,0.764404,1.6,12.38,1.56,38.5,3896.0
56,0.46582,0.37207,0.799927,5.11,9.03,-0.28,38.5,3896.0
60,-0.35791,0.470093,1.055786,-8.95,10.79,10.85,38.5,3896.0
64,-0.421997,-0.396362,1.347412,-8.74,-9.12,1.37,38.5,3896.0
68,0.580688,-0.406006,1.124512,6.4,-11.18,-9.92,38.5,3896.0
72,0.490112,0.368286,0.797485,5.53,8.77,-0.11,38.5,3896.0
76,0.602417,0.161621,0.84375,8.31,3.99,-3.11,38.5,3896.0
80,-0.179565,0.540649,0.908325,-5.29,13.53,5.97,38.5,3896.0
84,-0.580566,-0.119141,1.337158,-11.42,-1.68,6.6,38.5,3896.0
88,0.383179,-0.561646,1.2052,2.85,-15.74,-6.34,38.5,3896.0
92,0.620483,0.151489,0.848144,8.6,3.75,-3.35,38.5,3896.0
96,0.658569,-0.098145,0.940064,8.33,-1.39,-7.88,38.5,3896.0
100,0.043457,0.533081,0.793701,-0.85,14.05,3.0,38.5,3896.0
104,-0.518921,0.144043,1.252686,-11.89,4.89,11.96,38.5,3896.0
108,0.067261,-0.569702,1.326294,-2.21,-16.18,-2.4,38.5,3896.0
112,0.640259,-0.115356,0.964356,8.54,-1.74,-8.03,38.5,3896.0
116,0.661499,-0.28833,1.04541,7.63,-7.05,-10.82,38.5,3896.0
120,0.351685,0.42395,0.775879,3.08,11.45,1.53,38.5,3896.0
124,-0.410522,0.315308,1.095459,-10.25,9.11,12.65,38.5,3896.0
128,-0.290405,-0.476318,1.355591,-5.92,-12.73,-0.8,38.5,3896.0
132,0.65979,-0.296021,1.048096,7.77,-8.02,-11.27,38.5,3896.0
136,0.498413,-0.489624,1.139771,5.54,-13.56,-8.5,38.5,3896.0
140,0.574341,0.301147,0.824707,6.96,6.18,-0.9,38.5,3896.0
144,-0.277222,0.489746,0.973267,-7.82,12.5,8.95,38.5,3896.0
148,-0.504883,-0.300049,1.364014,-10.67,-5.26,2.85,38.5,3896.0
152,0.487671,-0.498169,1.133789,5.17,-12.05,-8.42,38.5,3896.0
156,0.334595,-0.578979,1.265137,1.24,-17.36,-3.75,38.5,3896.0
160,0.654297,0.057495,0.879395,9.2,2.18,-5.38,38.5,3896.0
164,-0.104126,0.562866,0.855835,-3.48,15.36,5.21,38.5,3896.0
168,-0.629761,0.018188,1.343872,-12.28,1.37,8.76,38.5,3896.0
172,0.279663,-0.580811,1.271973,0.76,-17.46,-3.9,38.5,3896.0
176,-0.079468,-0.539062,1.345581,-3.54,-15.16,-1.59,38.5,3896.0
180,0.614502,-0.22229,0.971436,8.54,-4.11,-9.67,38.5,3896.0
184,-0.43335,0.370239,1.101196,-10.93,9.15,13.03,38.5,3896.0
188,-0.275635,-0.485107,1.359253,-6.37,-12.05,-0.63,38.5,3896.0
192,0.634277,-0.330444,1.046143,7.8,-7.34,-9.73,38.5,3896.0
196,0.371338,0.452881,0.780884,3.32,10.06,0.58,38.5,3896.0
200,0.550415,0.306763,0.832275,6.84,6.6,-2.21,38.5,3896.0
204,-0.294434,0.547607,0.991333,-7.79,12.53,9.82,38.5,3896.0
208,-0.504272,-0.303345,1.346558,-10.87,-5.94,4.36,38.5,3896.0
212,0.523315,-0.505249,1.178955,5.6,-13.4,-7.26,38.5,3896.0
216,0.556274,0.294678,0.827393,7.02,6.14,-2.85,38.5,3896.0
220,0.600708,0.071655,0.875,9.52,2.02,-6.34,38.5,3896.0
224,-0.064819,0.544434,0.848511,-3.94,13.37,3.92,38.5,3896.0
228,-0.551758,-0.022339,1.285156,-12.34,0.99,10.34,38.5,3896.0
232,0.251709,-0.575562,1.277832,1.71,-15.78,-4.5,38.5,3896.0
236,0.590576,0.063843,0.879883,9.37,1.98,-5.72,38.5,3896.0
240,0.654175,-0.184448,0.982178,8.95,-2.94,-9.37,38.5,3896.0
244,0.116943,0.500488,0.773193,0.62,12.5,1.67,38.5,3896.0
248,-0.448853,0.194214,1.163208,-11.9,5.83,13.28,38.5,3896.0
252,-0.065186,-0.539307,1.333252,-3.2,-14.67,-2.42,38.5,3896.0
256,0.65686,-0.192993,0.995483,8.85,-3.25,-8.64,38.5,3896.0
260,0.615723,-0.358521,1.111328,7.11,-9.23,-10.14,38.5,3896.0
264,0.419922,0.396729,0.796631,4.5,9.56,0.38,38.5,3896.0
268,-0.384277,0.44812,1.075806,-9.89,10.34,12.05,38.5,3896.0
272,-0.357056,-0.451782,1.345703,-8.01,-9.7,0.44,38.5,3896.0
276,0.603516,-0.373657,1.112427,6.94,-9.44,-9.37,38.5,3896.0
280,-0.14563,0.562866,0.902466,-5.21,12.94,5.48,38.5,3896.0
284,-0.553711,-0.117432,1.310913,-12.09,-1.5,8.18,38.5,3896.0
288,0.430786,-0.541626,1.197388,4.02,-13.99,-6.83,38.5,3896.0
292,0.576538,0.219971,0.842651,8.01,4.91,-2.2,38.5,3896.0
296,-0.213745,0.540649,0.939087,-5.81,12.68,6.97,38.5,3896.0
300,-0.538818,-0.183838,1.319702,-11.02,-3.17,5.18,38.5,3896.0
304,0.422119,-0.541626,1.196289,3.68,-14.47,-7.42,38.5,3896.0
308,0.035156,0.518677,0.78125,-0.86,13.18,1.91,38.5,3896.0
312,-0.496094,0.112549,1.196533,-12.31,4.4,12.45,38.5,3896.0
316,0.15625,-0.571533,1.290894,-1.21,-16.5,-3.65,38.5,3896.0
320,0.640625,-0.055298,0.926758,8.7,-0.77,-6.27,38.5,3896.0
